;Tarih;YEARWEEK;TP_BS07_CARI
212;22-01-2016;2016-4;37868.9
213;29-01-2016;2016-5;38180.5
214;05-02-2016;2016-6;39546.1
215;12-02-2016;2016-7;39668.0
216;19-02-2016;2016-8;39169.6
217;26-02-2016;2016-9;39284.6
218;04-03-2016;2016-10;39134.5
219;11-03-2016;2016-11;40500.5
220;18-03-2016;2016-12;41138.7
221;25-03-2016;2016-13;40829.7
222;01-04-2016;2016-14;41170.0
223;08-04-2016;2016-15;41436.6
224;15-04-2016;2016-16;41991.6
225;22-04-2016;2016-17;42026.2
226;29-04-2016;2016-18;42038.1
227;06-05-2016;2016-19;43223.1
228;13-05-2016;2016-20;43175.2
229;20-05-2016;2016-21;42435.0
230;27-05-2016;2016-22;42442.7
231;03-06-2016;2016-23;42992.6
232;10-06-2016;2016-24;43894.2
233;17-06-2016;2016-25;43960.1
234;24-06-2016;2016-26;43757.4
235;01-07-2016;2016-27;45738.5
236;08-07-2016;2016-28;45231.2
237;15-07-2016;2016-29;45294.7
238;22-07-2016;2016-30;43922.9
239;29-07-2016;2016-31;44000.9
240;05-08-2016;2016-32;44130.1
241;12-08-2016;2016-33;44953.8
242;19-08-2016;2016-34;44917.3
243;26-08-2016;2016-35;45235.7
244;02-09-2016;2016-36;44386.4
245;09-09-2016;2016-37;44115.0
246;16-09-2016;2016-38;44893.5
247;23-09-2016;2016-39;44984.5
248;30-09-2016;2016-40;42902.8
249;07-10-2016;2016-41;43157.5
250;14-10-2016;2016-42;42826.9
251;21-10-2016;2016-43;43775.4
252;28-10-2016;2016-44;43296.2
253;04-11-2016;2016-45;42728.5
254;11-11-2016;2016-46;40971.0
255;18-11-2016;2016-47;40183.3
256;25-11-2016;2016-48;39659.6
257;02-12-2016;2016-49;39236.7
258;09-12-2016;2016-50;39498.6
259;16-12-2016;2016-51;39437.4
260;23-12-2016;2016-52;39625.5
261;30-12-2016;2016-53;39755.4
262;06-01-2017;2017-1;39886.1
263;13-01-2017;2017-2;39922.9
264;20-01-2017;2017-3;39603.6
265;27-01-2017;2017-4;41502.6
266;03-02-2017;2017-5;42480.3
267;10-02-2017;2017-6;42369.7
268;17-02-2017;2017-7;41670.7
269;24-02-2017;2017-8;42738.1
270;03-03-2017;2017-9;42052.2
271;10-03-2017;2017-10;42469.7
272;17-03-2017;2017-11;42834.1
273;24-03-2017;2017-12;43080.1
274;31-03-2017;2017-13;43030.8
275;07-04-2017;2017-14;44245.4
276;14-04-2017;2017-15;44425.1
277;21-04-2017;2017-16;44854.3
278;28-04-2017;2017-17;45204.9
279;05-05-2017;2017-18;44960.1
280;12-05-2017;2017-19;46311.1
281;19-05-2017;2017-20;45841.7
282;26-05-2017;2017-21;46767.4
283;02-06-2017;2017-22;46964.3
284;09-06-2017;2017-23;47051.7
285;16-06-2017;2017-24;48165.3
286;23-06-2017;2017-25;48175.7
287;30-06-2017;2017-26;47710.4
288;07-07-2017;2017-27;46925.3
289;14-07-2017;2017-28;45832.7
290;21-07-2017;2017-29;46273.3
291;28-07-2017;2017-30;46454.1
292;04-08-2017;2017-31;46964.4
293;11-08-2017;2017-32;47044.0
294;18-08-2017;2017-33;47182.2
295;25-08-2017;2017-34;47455.8
296;01-09-2017;2017-35;47672.4
297;08-09-2017;2017-36;47795.3
298;15-09-2017;2017-37;49275.9
299;22-09-2017;2017-38;48787.3
300;29-09-2017;2017-39;48625.4
301;06-10-2017;2017-40;48216.4
302;13-10-2017;2017-41;48471.0
303;20-10-2017;2017-42;48241.6
304;27-10-2017;2017-43;47420.8
305;03-11-2017;2017-44;46984.9
306;10-11-2017;2017-45;46601.5
307;17-11-2017;2017-46;46830.1
308;24-11-2017;2017-47;47031.3
309;01-12-2017;2017-48;47250.0
310;08-12-2017;2017-49;48152.9
311;15-12-2017;2017-50;47844.6
312;22-12-2017;2017-51;47944.6
313;29-12-2017;2017-52;48237.3
314;05-01-2018;2018-1;48474.5
315;12-01-2018;2018-2;48202.0
316;19-01-2018;2018-3;49416.2
317;26-01-2018;2018-4;49592.5
318;02-02-2018;2018-5;49360.2
319;09-02-2018;2018-6;48651.5
320;16-02-2018;2018-7;49023.3
321;23-02-2018;2018-8;48531.9
322;02-03-2018;2018-9;48295.1
323;09-03-2018;2018-10;48349.1
324;16-03-2018;2018-11;48091.4
325;23-03-2018;2018-12;47660.0
326;30-03-2018;2018-13;46863.0
327;06-04-2018;2018-14;44927.7
328;13-04-2018;2018-15;45082.0
329;20-04-2018;2018-16;44567.0
330;27-04-2018;2018-17;46251.3
331;04-05-2018;2018-18;44766.0
332;11-05-2018;2018-19;44522.5
333;18-05-2018;2018-20;43152.1
334;25-05-2018;2018-21;44093.0
335;01-06-2018;2018-22;43224.7
336;08-06-2018;2018-23;43829.5
337;15-06-2018;2018-24;42984.8
338;22-06-2018;2018-25;43469.7
339;29-06-2018;2018-26;43398.1
340;06-07-2018;2018-27;43877.6
341;13-07-2018;2018-28;42442.1
342;20-07-2018;2018-29;43293.4
343;27-07-2018;2018-30;43048.5
344;03-08-2018;2018-31;42466.2
345;10-08-2018;2018-32;40298.9
346;17-08-2018;2018-33;39900.1
347;24-08-2018;2018-34;39901.5
348;31-08-2018;2018-35;38854.5
349;07-09-2018;2018-36;38554.7
350;14-09-2018;2018-37;41300.3
351;21-09-2018;2018-38;40971.5
352;28-09-2018;2018-39;41693.8
353;05-10-2018;2018-40;40483.7
354;12-10-2018;2018-41;40668.8
355;19-10-2018;2018-42;42640.3
356;26-10-2018;2018-43;42621.1
357;02-11-2018;2018-44;42655.8
358;09-11-2018;2018-45;42665.4
359;16-11-2018;2018-46;43984.1
360;23-11-2018;2018-47;43371.1
361;30-11-2018;2018-48;43284.6
362;07-12-2018;2018-49;43625.2
363;14-12-2018;2018-50;44068.6
364;21-12-2018;2018-51;44950.7
365;28-12-2018;2018-52;44850.9
366;04-01-2019;2019-1;44762.9
367;11-01-2019;2019-2;44514.7
368;18-01-2019;2019-3;46893.2
369;25-01-2019;2019-4;47803.2
370;01-02-2019;2019-5;48795.1
371;08-02-2019;2019-6;48318.0
372;15-02-2019;2019-7;48279.6
373;22-02-2019;2019-8;49954.9
374;01-03-2019;2019-9;49546.6
375;08-03-2019;2019-10;49016.6
376;15-03-2019;2019-11;48479.4
377;22-03-2019;2019-12;47529.2
378;29-03-2019;2019-13;47441.1
379;05-04-2019;2019-14;47117.7
380;12-04-2019;2019-15;45730.8
381;19-04-2019;2019-16;45507.9
382;26-04-2019;2019-17;45501.7
383;03-05-2019;2019-18;45683.0
384;10-05-2019;2019-19;44943.3
385;17-05-2019;2019-20;45181.3
386;24-05-2019;2019-21;44617.2
387;31-05-2019;2019-22;45237.0
388;07-06-2019;2019-23;45005.2
389;14-06-2019;2019-24;45549.6
390;21-06-2019;2019-25;46221.7
391;28-06-2019;2019-26;47270.1
392;05-07-2019;2019-27;47522.6
393;12-07-2019;2019-28;48365.6
394;19-07-2019;2019-29;49303.6
395;26-07-2019;2019-30;49843.3
396;02-08-2019;2019-31;49386.6
397;09-08-2019;2019-32;49549.8
398;16-08-2019;2019-33;48356.2
399;23-08-2019;2019-34;48433.5
400;30-08-2019;2019-35;48487.7
401;06-09-2019;2019-36;48641.5
402;13-09-2019;2019-37;48284.7
403;20-09-2019;2019-38;48541.3
404;27-09-2019;2019-39;48949.6
405;04-10-2019;2019-40;48629.5
406;11-10-2019;2019-41;48046.5
407;18-10-2019;2019-42;48174.4
408;25-10-2019;2019-43;48570.8
409;01-11-2019;2019-44;48851.1
410;08-11-2019;2019-45;48053.1
411;15-11-2019;2019-46;50360.7
412;22-11-2019;2019-47;50378.6
413;29-11-2019;2019-48;49659.6
414;06-12-2019;2019-49;49890.6
415;13-12-2019;2019-50;49768.3
416;20-12-2019;2019-51;50090.0
417;27-12-2019;2019-52;49924.5
418;03-01-2020;2020-1;49719.0
419;10-01-2020;2020-2;49751.7
420;17-01-2020;2020-3;50156.6
421;24-01-2020;2020-4;50202.9
422;31-01-2020;2020-5;49915.3
423;07-02-2020;2020-6;49012.7
424;14-02-2020;2020-7;52421.2
425;21-02-2020;2020-8;51906.7
426;28-02-2020;2020-9;50330.2
427;06-03-2020;2020-10;50979.4
428;13-03-2020;2020-11;47947.9
429;20-03-2020;2020-12;43628.6
430;27-03-2020;2020-13;44598.4
431;03-04-2020;2020-14;42497.4
432;10-04-2020;2020-15;44313.1
433;17-04-2020;2020-16;43457.4
434;24-04-2020;2020-17;43968.3
435;01-05-2020;2020-18;44168.1
436;08-05-2020;2020-19;43343.9
437;15-05-2020;2020-20;43648.5
438;22-05-2020;2020-21;43696.3
439;29-05-2020;2020-22;43631.3
440;05-06-2020;2020-23;43911.0
441;12-06-2020;2020-24;43518.7
