;Tarih;TP_DK_CNY_S
370;25-03-2013;0.29473
371;26-03-2013;0.29423
372;27-03-2013;0.29467
373;28-03-2013;0.29467
374;29-03-2013;0.29401
375;30-03-2013;
376;31-03-2013;
377;01-04-2013;0.29338
378;02-04-2013;0.2937
379;03-04-2013;0.29331
380;04-04-2013;0.2934
381;05-04-2013;0.29362
382;06-04-2013;
383;07-04-2013;
384;08-04-2013;0.29252
385;09-04-2013;0.29037
386;10-04-2013;0.28959
387;11-04-2013;0.29006
388;12-04-2013;0.29019
389;13-04-2013;
390;14-04-2013;
391;15-04-2013;0.29095
392;16-04-2013;0.2913
393;17-04-2013;0.29201
394;18-04-2013;0.29194
395;19-04-2013;0.29245
396;20-04-2013;
397;21-04-2013;
398;22-04-2013;0.29295
399;23-04-2013;
400;24-04-2013;0.29357
401;25-04-2013;0.29405
402;26-04-2013;0.29368
403;27-04-2013;
404;28-04-2013;
405;29-04-2013;0.29419
406;30-04-2013;0.29337
407;01-05-2013;
408;02-05-2013;0.29353
409;03-05-2013;0.29338
410;04-05-2013;
411;05-05-2013;
412;06-05-2013;0.29362
413;07-05-2013;0.29317
414;08-05-2013;0.29449
415;09-05-2013;0.29426
416;10-05-2013;0.2941
417;11-05-2013;
418;12-05-2013;
419;13-05-2013;0.29527
420;14-05-2013;0.29599
421;15-05-2013;0.29687
422;16-05-2013;0.29834
423;17-05-2013;0.29862
424;18-05-2013;
425;19-05-2013;
426;20-05-2013;0.3009
427;21-05-2013;0.30239
428;22-05-2013;0.30337
429;23-05-2013;0.30234
430;24-05-2013;0.30386
431;25-05-2013;
432;26-05-2013;
433;27-05-2013;0.30286
434;28-05-2013;0.3035
435;29-05-2013;0.30422
436;30-05-2013;0.30652
437;31-05-2013;0.30664
438;01-06-2013;
439;02-06-2013;
440;03-06-2013;0.30941
441;04-06-2013;0.31055
442;05-06-2013;0.30813
443;06-06-2013;0.309
444;07-06-2013;0.30967
445;08-06-2013;
446;09-06-2013;
447;10-06-2013;0.30977
448;11-06-2013;0.3111
449;12-06-2013;0.31113
450;13-06-2013;0.30809
451;14-06-2013;0.3067
452;15-06-2013;
453;16-06-2013;
454;17-06-2013;0.30454
455;18-06-2013;0.30683
456;19-06-2013;0.30836
457;20-06-2013;0.3093
458;21-06-2013;0.31508
459;22-06-2013;
460;23-06-2013;
461;24-06-2013;0.31721
462;25-06-2013;0.31821
463;26-06-2013;0.31702
464;27-06-2013;0.31663
465;28-06-2013;0.31572
466;29-06-2013;
467;30-06-2013;
468;01-07-2013;0.31589
469;02-07-2013;0.31598
470;03-07-2013;0.31565
471;04-07-2013;0.32004
472;05-07-2013;0.32038
473;06-07-2013;
474;07-07-2013;
475;08-07-2013;0.31991
476;09-07-2013;0.32039
477;10-07-2013;0.31863
478;11-07-2013;0.31919
479;12-07-2013;0.31855
480;13-07-2013;
481;14-07-2013;
482;15-07-2013;0.32126
483;16-07-2013;0.31859
484;17-07-2013;0.31652
485;18-07-2013;0.31614
486;19-07-2013;0.31438
487;20-07-2013;
488;21-07-2013;
489;22-07-2013;0.31533
490;23-07-2013;0.3142
491;24-07-2013;0.3138
492;25-07-2013;0.31305
493;26-07-2013;0.31605
494;27-07-2013;
495;28-07-2013;
496;29-07-2013;0.31547
497;30-07-2013;0.31598
498;31-07-2013;0.31612
499;01-08-2013;0.31736
500;02-08-2013;0.31799
501;03-08-2013;
502;04-08-2013;
503;05-08-2013;0.3197
504;06-08-2013;0.31715
505;07-08-2013;0.31747
506;08-08-2013;
507;09-08-2013;
508;10-08-2013;
509;11-08-2013;
510;12-08-2013;0.31747
511;13-08-2013;0.31645
512;14-08-2013;0.31685
513;15-08-2013;0.31868
514;16-08-2013;0.31782
515;17-08-2013;
516;18-08-2013;
517;19-08-2013;0.31867
518;20-08-2013;0.32033
519;21-08-2013;0.32042
520;22-08-2013;0.32211
521;23-08-2013;0.32643
522;24-08-2013;
523;25-08-2013;
524;26-08-2013;0.32667
525;27-08-2013;0.32835
526;28-08-2013;0.33283
527;29-08-2013;0.33835
528;30-08-2013;
529;31-08-2013;
530;01-09-2013;
531;02-09-2013;0.33431
532;03-09-2013;0.3319
533;04-09-2013;0.33602
534;05-09-2013;0.33811
535;06-09-2013;0.34128
536;07-09-2013;
537;08-09-2013;
538;09-09-2013;0.33958
539;10-09-2013;0.33549
540;11-09-2013;0.33391
541;12-09-2013;0.33154
542;13-09-2013;0.33284
