;Tarih;TP_DK_CNY_A
255;30-11-2012;0.2834
256;01-12-2012;
257;02-12-2012;
258;03-12-2012;0.28309
259;04-12-2012;0.28332
260;05-12-2012;0.28313
261;06-12-2012;0.283
262;07-12-2012;0.28358
263;08-12-2012;
264;09-12-2012;
265;10-12-2012;0.28382
266;11-12-2012;0.28381
267;12-12-2012;0.28216
268;13-12-2012;0.28092
269;14-12-2012;0.28176
270;15-12-2012;
271;16-12-2012;
272;17-12-2012;0.28187
273;18-12-2012;0.28221
274;19-12-2012;0.28239
275;20-12-2012;0.28208
276;21-12-2012;0.28277
277;22-12-2012;
278;23-12-2012;
279;24-12-2012;0.28452
280;25-12-2012;0.28467
281;26-12-2012;0.2844
282;27-12-2012;0.28388
283;28-12-2012;0.28355
284;29-12-2012;
285;30-12-2012;
286;31-12-2012;0.28369
287;01-01-2013;
288;02-01-2013;0.28297
289;03-01-2013;0.28188
290;04-01-2013;0.28222
291;05-01-2013;
292;06-01-2013;
293;07-01-2013;0.28334
294;08-01-2013;0.28237
295;09-01-2013;0.2821
296;10-01-2013;0.28181
297;11-01-2013;0.28154
298;12-01-2013;
299;13-01-2013;
300;14-01-2013;0.28119
301;15-01-2013;0.28085
302;16-01-2013;0.28137
303;17-01-2013;0.28111
304;18-01-2013;0.27937
305;19-01-2013;
306;20-01-2013;
307;21-01-2013;0.27917
308;22-01-2013;0.27963
309;23-01-2013;0.28019
310;24-01-2013;0.28107
311;25-01-2013;0.28112
312;26-01-2013;
313;27-01-2013;
314;28-01-2013;0.28015
315;29-01-2013;0.28047
316;30-01-2013;0.28089
317;31-01-2013;0.28042
318;01-02-2013;0.27985
319;02-02-2013;
320;03-02-2013;
321;04-02-2013;0.27809
322;05-02-2013;0.2778
323;06-02-2013;0.27875
324;07-02-2013;0.27961
325;08-02-2013;0.28008
326;09-02-2013;
327;10-02-2013;
328;11-02-2013;0.28061
329;12-02-2013;0.28081
330;13-02-2013;0.28113
331;14-02-2013;0.2799
332;15-02-2013;0.28037
333;16-02-2013;
334;17-02-2013;
335;18-02-2013;0.282
336;19-02-2013;0.28117
337;20-02-2013;0.28184
338;21-02-2013;0.28313
339;22-02-2013;0.28541
340;23-02-2013;
341;24-02-2013;
342;25-02-2013;0.28554
343;26-02-2013;0.28651
344;27-02-2013;0.28843
345;28-02-2013;0.28823
346;01-03-2013;0.28699
347;02-03-2013;
348;03-03-2013;
349;04-03-2013;0.28779
350;05-03-2013;0.28787
351;06-03-2013;0.2869
352;07-03-2013;0.28648
353;08-03-2013;0.28726
354;09-03-2013;
355;10-03-2013;
356;11-03-2013;0.28719
357;12-03-2013;0.28831
358;13-03-2013;0.28828
359;14-03-2013;0.28901
360;15-03-2013;0.29004
361;16-03-2013;
362;17-03-2013;
363;18-03-2013;0.28942
364;19-03-2013;0.29015
365;20-03-2013;0.29038
366;21-03-2013;0.29114
367;22-03-2013;0.29044
368;23-03-2013;
369;24-03-2013;
370;25-03-2013;0.29092
371;26-03-2013;0.29043
372;27-03-2013;0.29086
373;28-03-2013;0.29086
374;29-03-2013;0.29021
375;30-03-2013;
376;31-03-2013;
377;01-04-2013;0.28959
378;02-04-2013;0.28991
379;03-04-2013;0.28952
380;04-04-2013;0.28961
381;05-04-2013;0.28983
382;06-04-2013;
383;07-04-2013;
384;08-04-2013;0.28874
385;09-04-2013;0.28662
386;10-04-2013;0.28585
387;11-04-2013;0.28631
388;12-04-2013;0.28644
389;13-04-2013;
390;14-04-2013;
391;15-04-2013;0.28719
392;16-04-2013;0.28754
393;17-04-2013;0.28824
394;18-04-2013;0.28817
395;19-04-2013;0.28867
396;20-04-2013;
397;21-04-2013;
398;22-04-2013;0.28917
399;23-04-2013;
400;24-04-2013;0.28978
401;25-04-2013;0.29025
402;26-04-2013;0.28989
403;27-04-2013;
404;28-04-2013;
405;29-04-2013;0.29039
406;30-04-2013;0.28958
407;01-05-2013;
408;02-05-2013;0.28974
409;03-05-2013;0.28959
410;04-05-2013;
411;05-05-2013;
412;06-05-2013;0.28983
413;07-05-2013;0.28938
414;08-05-2013;0.29068
415;09-05-2013;0.29046
416;10-05-2013;0.2903
417;11-05-2013;
418;12-05-2013;
419;13-05-2013;0.29145
420;14-05-2013;0.29216
421;15-05-2013;0.29304
422;16-05-2013;0.29449
423;17-05-2013;0.29477
424;18-05-2013;
425;19-05-2013;
426;20-05-2013;0.29701
427;21-05-2013;0.29849
428;22-05-2013;0.29945
429;23-05-2013;0.29844
430;24-05-2013;0.29993
431;25-05-2013;
432;26-05-2013;
433;27-05-2013;0.29894
434;28-05-2013;0.29958
435;29-05-2013;0.30029
436;30-05-2013;0.30256
437;31-05-2013;0.30268
438;01-06-2013;
439;02-06-2013;
440;03-06-2013;0.30542
441;04-06-2013;0.30654
442;05-06-2013;0.30415
443;06-06-2013;0.30501
444;07-06-2013;0.30567
445;08-06-2013;
446;09-06-2013;
447;10-06-2013;0.30577
448;11-06-2013;0.30708
449;12-06-2013;0.30711
450;13-06-2013;0.30411
451;14-06-2013;0.30274
452;15-06-2013;
453;16-06-2013;
454;17-06-2013;0.30061
455;18-06-2013;0.30286
456;19-06-2013;0.30437
457;20-06-2013;0.3053
