;Tarih;TP_MK_LON_YTL
435;2010-3;1110.81
436;2010-4;1151.68
437;2010-5;1206.5
438;2010-6;1233.38
439;2010-7;1191.8
440;2010-8;1220.13
441;2010-9;1270.5
442;2010-10;1336.94
443;2010-11;1379.67
444;2010-12;1382.42
445;2011-1;1349.13
446;2011-2;1376.25
447;2011-3;1423.63
448;2011-4;1455.08
449;2011-5;1504.0
450;2011-6;1530.37
451;2011-7;1568.4
452;2011-8;1757.7
453;2011-9;1765.9
454;2011-10;1678.4
455;2011-11;1732.38
456;2011-12;1646.4
457;2012-1;1657.75
458;2012-2;1736.5
459;2012-3;1675.8
460;2012-4;1650.62
461;2012-5;1596.43
462;2012-6;1588.25
463;2012-7;1594.93
464;2012-8;1630.15
465;2012-9;1766.0
466;2012-10;1742.95
467;2012-11;1719.45
468;2012-12;1676.68
469;2013-1;1663.5
470;2013-2;1631.0
471;2013-3;1593.1
472;2013-4;1495.12
473;2013-5;1409.85
474;2013-6;1316.12
475;2013-7;1279.81
476;2013-8;1334.12
477;2013-9;1348.93
478;2013-10;1307.66
479;2013-11;1275.75
480;2013-12;1218.76
481;2014-1;1249.35
482;2014-2;1307.25
483;2014-3;1337.75
484;2014-4;1303.87
485;2014-5;1281.2
486;2014-6;1287.62
487;2014-7;1314.06
488;2014-8;1292.0
489;2014-9;1232.75
490;2014-10;1209.05
491;2014-11;1177.5
492;2014-12;1195.56
493;2015-1;1244.45
494;2015-2;1223.93
495;2015-3;1176.65
496;2015-4;1198.05
497;2015-5;1199.59
498;2015-6;1180.32
499;2015-7;1127.85
500;2015-8;1120.73
501;2015-9;1122.83
502;2015-10;1155.35
503;2015-11;1077.38
504;2015-12;1070.85
505;2016-1;1100.91
506;2016-2;1211.93
507;2016-3;1254.46
508;2016-4;1241.82
509;2016-5;1256.33
510;2016-6;1280.55
511;2016-7;1336.8
512;2016-8;1339.43
513;2016-9;1325.01
514;2016-10;1262.38
515;2016-11;1234.48
516;2016-12;1149.51
517;2017-1;1187.9
518;2017-2;1234.77
519;2017-3;1230.22
520;2017-4;1274.07
521;2017-5;1244.08
522;2017-6;1258.97
523;2017-7;1239.85
524;2017-8;1281.22
525;2017-9;1311.75
526;2017-10;1277.26
527;2017-11;1281.58
528;2017-12;1270.85
529;2018-1;1333.01
530;2018-2;1331.32
531;2018-3;1324.69
532;2018-4;1333.28
533;2018-5;1306.38
534;2018-6;1278.5
535;2018-7;1237.43
536;2018-8;1202.88
537;2018-9;1196.7
538;2018-10;1221.31
539;2018-11;1221.42
540;2018-12;1253.95
541;2019-1;1286.73
542;2019-2;1319.78
543;2019-3;1303.78
544;2019-4;1285.66
545;2019-5;1282.23
546;2019-6;1385.8
547;2019-7;1414.08
548;2019-8;1489.62
549;2019-9;1504.65
550;2019-10;1495.43
551;2019-11;1472.89
552;2019-12;1479.18
553;2020-1;1561.69
554;2020-2;1601.8
555;2020-3;1621.58
556;2020-4;1679.92
557;2020-5;1724.1
558;2020-6;1724.82
559;2020-7;1847.27
560;2020-8;1964.4
561;2020-9;1921.06
562;2020-10;1903.37
563;2020-11;1878.86
564;2020-12;1864.98
565;2021-1;1872.32
566;2021-2;1787.08
567;2021-3;1717.01
568;2021-4;1758.23
569;2021-5;1862.62
570;2021-6;1832.85
571;2021-7;1810.55
572;2021-8;1778.57
573;2021-9;1780.26
574;2021-10;1777.8
575;2021-11;1831.07
576;2021-12;1793.21
577;2022-1;1811.89
578;2022-2;1853.56
579;2022-3;1953.4
580;2022-4;1943.9
581;2022-5;1844.97
582;2022-6;1837.12
583;2022-7;1745.34
584;2022-8;1766.83
585;2022-9;1681.17
586;2022-10;1659.18
587;2022-11;1728.53
588;2022-12;1793.53
589;2023-1;1901.82
590;2023-2;1844.98
591;2023-3;1927.6
592;2023-4;1994.37
593;2023-5;1982.26
594;2023-6;1953.5
595;2023-7;1947.71
596;2023-8;1916.86
597;2023-9;1918.78
598;2023-10;1925.05
