;Tarih;TP_AOFO
284;09-02-2012;10.84
285;10-02-2012;10.05
286;13-02-2012;7.46
287;14-02-2012;8.06
288;15-02-2012;8.45
289;16-02-2012;7.94
290;17-02-2012;10.07
291;20-02-2012;10.23
292;21-02-2012;10.49
293;22-02-2012;9.11
294;23-02-2012;8.5
295;24-02-2012;8.81
296;27-02-2012;9.1
297;28-02-2012;9.08
298;29-02-2012;7.7
299;01-03-2012;7.73
300;02-03-2012;9.25
301;05-03-2012;9.03
302;06-03-2012;9.35
303;07-03-2012;9.3
304;08-03-2012;9.33
305;09-03-2012;9.52
306;12-03-2012;10.62
307;13-03-2012;10.38
308;14-03-2012;10.54
309;15-03-2012;10.23
310;16-03-2012;10.31
311;19-03-2012;10.14
312;20-03-2012;10.2
313;21-03-2012;9.55
314;22-03-2012;10.58
315;23-03-2012;10.88
316;26-03-2012;10.87
317;27-03-2012;10.87
318;28-03-2012;10.87
319;29-03-2012;10.87
320;30-03-2012;10.85
321;02-04-2012;10.71
322;03-04-2012;10.72
323;04-04-2012;10.73
324;05-04-2012;10.71
325;06-04-2012;10.79
326;09-04-2012;10.76
327;10-04-2012;10.82
328;11-04-2012;10.93
329;12-04-2012;10.82
330;13-04-2012;10.7
331;16-04-2012;10.77
332;17-04-2012;10.72
333;18-04-2012;10.49
334;19-04-2012;10.67
335;20-04-2012;10.8
336;23-04-2012;
337;24-04-2012;10.52
338;25-04-2012;9.94
339;26-04-2012;10.39
340;27-04-2012;10.64
341;30-04-2012;10.1
342;01-05-2012;
343;02-05-2012;10.48
344;03-05-2012;10.47
345;04-05-2012;10.81
346;07-05-2012;10.88
347;08-05-2012;10.79
348;09-05-2012;10.86
349;10-05-2012;10.92
350;11-05-2012;10.87
351;14-05-2012;10.84
352;15-05-2012;10.85
353;16-05-2012;10.9
354;17-05-2012;10.89
355;18-05-2012;10.84
356;21-05-2012;10.83
357;22-05-2012;10.85
358;23-05-2012;10.87
359;24-05-2012;10.83
360;25-05-2012;10.91
361;28-05-2012;10.86
362;29-05-2012;10.84
363;30-05-2012;10.79
364;31-05-2012;10.84
365;01-06-2012;10.89
366;04-06-2012;10.85
367;05-06-2012;10.83
368;06-06-2012;10.79
369;07-06-2012;10.93
370;08-06-2012;10.88
371;11-06-2012;10.84
372;12-06-2012;10.83
373;13-06-2012;10.81
374;14-06-2012;10.77
375;15-06-2012;10.79
376;18-06-2012;10.84
377;19-06-2012;10.84
378;20-06-2012;10.8
379;21-06-2012;10.37
380;22-06-2012;10.24
381;25-06-2012;10.23
382;26-06-2012;9.46
383;27-06-2012;8.47
384;28-06-2012;7.51
385;29-06-2012;10.55
386;02-07-2012;10.65
387;03-07-2012;10.46
388;04-07-2012;9.54
389;05-07-2012;7.09
390;06-07-2012;8.37
391;09-07-2012;8.07
392;10-07-2012;8.1
393;11-07-2012;9.34
394;12-07-2012;8.71
395;13-07-2012;10.13
396;16-07-2012;10.75
397;17-07-2012;10.23
398;18-07-2012;7.67
399;19-07-2012;6.2
400;20-07-2012;7.51
401;23-07-2012;7.76
402;24-07-2012;7.73
403;25-07-2012;6.65
404;26-07-2012;7.03
405;27-07-2012;7.04
406;30-07-2012;7.35
407;31-07-2012;7.35
408;01-08-2012;7.39
409;02-08-2012;7.64
410;03-08-2012;7.35
411;06-08-2012;6.94
412;07-08-2012;6.5
413;08-08-2012;5.77
414;09-08-2012;6.71
415;10-08-2012;6.61
416;13-08-2012;5.44
417;14-08-2012;5.35
418;15-08-2012;5.37
419;16-08-2012;5.41
420;17-08-2012;5.93
421;20-08-2012;
422;21-08-2012;
423;22-08-2012;7.22
424;23-08-2012;9.58
425;24-08-2012;7.19
426;27-08-2012;5.37
427;28-08-2012;5.32
428;29-08-2012;5.39
429;30-08-2012;
430;31-08-2012;6.17
431;03-09-2012;6.01
432;04-09-2012;5.61
433;05-09-2012;5.6
434;06-09-2012;5.41
435;07-09-2012;5.72
436;10-09-2012;5.9
437;11-09-2012;5.82
438;12-09-2012;5.8
439;13-09-2012;5.5
440;14-09-2012;5.82
441;17-09-2012;6.08
442;18-09-2012;5.52
443;19-09-2012;5.41
444;20-09-2012;5.4
445;21-09-2012;5.79
446;24-09-2012;5.4
447;25-09-2012;5.38
448;26-09-2012;5.37
449;27-09-2012;5.55
450;28-09-2012;8.38
451;01-10-2012;5.48
452;02-10-2012;5.41
453;03-10-2012;5.4
454;04-10-2012;5.4
455;05-10-2012;5.37
456;08-10-2012;5.43
457;09-10-2012;5.47
458;10-10-2012;5.37
