;Tarih;TP_DK_EUR_A_EF
2609;23-02-2009;2.1394
2610;24-02-2009;2.1554
2611;25-02-2009;2.1537
2612;26-02-2009;2.1551
2613;27-02-2009;2.1427
2614;28-02-2009;
2615;01-03-2009;
2616;02-03-2009;2.1345
2617;03-03-2009;2.1613
2618;04-03-2009;2.1645
2619;05-03-2009;2.1571
2620;06-03-2009;2.1761
2621;07-03-2009;
2622;08-03-2009;
2623;09-03-2009;2.2556
2624;10-03-2009;2.2621
2625;11-03-2009;2.2609
2626;12-03-2009;2.2009
2627;13-03-2009;2.2299
2628;14-03-2009;
2629;15-03-2009;
2630;16-03-2009;2.184
2631;17-03-2009;2.1886
2632;18-03-2009;2.1985
2633;19-03-2009;2.2158
2634;20-03-2009;2.2745
2635;21-03-2009;
2636;22-03-2009;
2637;23-03-2009;2.2983
2638;24-03-2009;2.264
2639;25-03-2009;2.2332
2640;26-03-2009;2.2326
2641;27-03-2009;2.2368
2642;28-03-2009;
2643;29-03-2009;
2644;30-03-2009;2.2241
2645;31-03-2009;2.2242
2646;01-04-2009;2.2147
2647;02-04-2009;2.1754
2648;03-04-2009;2.146
2649;04-04-2009;
2650;05-04-2009;
2651;06-04-2009;2.1315
2652;07-04-2009;2.1063
2653;08-04-2009;2.1245
2654;09-04-2009;2.1118
2655;10-04-2009;2.0821
2656;11-04-2009;
2657;12-04-2009;
2658;13-04-2009;2.0501
2659;14-04-2009;2.0717
2660;15-04-2009;2.0796
2661;16-04-2009;2.0993
2662;17-04-2009;2.1003
2663;18-04-2009;
2664;19-04-2009;
2665;20-04-2009;2.0925
2666;21-04-2009;2.1026
2667;22-04-2009;2.1366
2668;23-04-2009;
2669;24-04-2009;2.1174
2670;25-04-2009;
2671;26-04-2009;
2672;27-04-2009;2.1289
2673;28-04-2009;2.123
2674;29-04-2009;2.1209
2675;30-04-2009;2.1098
2676;01-05-2009;
2677;02-05-2009;
2678;03-05-2009;
2679;04-05-2009;2.1017
2680;05-05-2009;2.0952
2681;06-05-2009;2.0762
2682;07-05-2009;2.0793
2683;08-05-2009;2.0467
2684;09-05-2009;
2685;10-05-2009;
2686;11-05-2009;2.0737
2687;12-05-2009;2.0895
2688;13-05-2009;2.1216
2689;14-05-2009;2.1113
2690;15-05-2009;2.1313
2691;16-05-2009;
2692;17-05-2009;
2693;18-05-2009;2.1152
2694;19-05-2009;
2695;20-05-2009;2.0939
2696;21-05-2009;2.0833
2697;22-05-2009;2.104
2698;23-05-2009;
2699;24-05-2009;
2700;25-05-2009;2.1302
2701;26-05-2009;2.1531
2702;27-05-2009;2.1549
2703;28-05-2009;2.1666
2704;29-05-2009;2.164
2705;30-05-2009;
2706;31-05-2009;
2707;01-06-2009;2.154
2708;02-06-2009;2.1624
2709;03-06-2009;2.1587
2710;04-06-2009;2.1662
2711;05-06-2009;2.1735
2712;06-06-2009;
2713;07-06-2009;
2714;08-06-2009;2.1741
2715;09-06-2009;2.1492
2716;10-06-2009;2.1538
2717;11-06-2009;2.1583
2718;12-06-2009;2.1513
2719;13-06-2009;
2720;14-06-2009;
2721;15-06-2009;2.1437
2722;16-06-2009;2.1336
2723;17-06-2009;2.1354
2724;18-06-2009;2.1423
2725;19-06-2009;2.1698
2726;20-06-2009;
2727;21-06-2009;
2728;22-06-2009;2.1522
2729;23-06-2009;2.1468
2730;24-06-2009;2.1812
2731;25-06-2009;2.1879
2732;26-06-2009;2.1573
2733;27-06-2009;
2734;28-06-2009;
2735;29-06-2009;2.1543
2736;30-06-2009;2.1454
2737;01-07-2009;2.1508
2738;02-07-2009;2.1448
2739;03-07-2009;2.1401
2740;04-07-2009;
2741;05-07-2009;
2742;06-07-2009;2.1379
2743;07-07-2009;2.1436
2744;08-07-2009;2.1402
2745;09-07-2009;2.1494
2746;10-07-2009;2.1501
2747;11-07-2009;
2748;12-07-2009;
2749;13-07-2009;2.1488
2750;14-07-2009;2.1616
2751;15-07-2009;2.1444
2752;16-07-2009;2.1483
2753;17-07-2009;2.1461
2754;18-07-2009;
2755;19-07-2009;
2756;20-07-2009;2.1405
2757;21-07-2009;2.1355
2758;22-07-2009;2.1335
2759;23-07-2009;2.1195
2760;24-07-2009;2.1056
2761;25-07-2009;
2762;26-07-2009;
2763;27-07-2009;2.0993
2764;28-07-2009;2.0972
2765;29-07-2009;2.0901
2766;30-07-2009;2.0915
2767;31-07-2009;2.0763
2768;01-08-2009;
2769;02-08-2009;
2770;03-08-2009;2.072
2771;04-08-2009;2.0845
2772;05-08-2009;2.0938
2773;06-08-2009;2.0909
2774;07-08-2009;2.1019
2775;08-08-2009;
2776;09-08-2009;
2777;10-08-2009;2.1168
2778;11-08-2009;2.0791
2779;12-08-2009;2.1037
2780;13-08-2009;2.1182
2781;14-08-2009;2.0958
2782;15-08-2009;
2783;16-08-2009;
2784;17-08-2009;2.1034
2785;18-08-2009;2.1144
2786;19-08-2009;2.1017
2787;20-08-2009;2.1066
2788;21-08-2009;2.1111
2789;22-08-2009;
2790;23-08-2009;
2791;24-08-2009;2.1184
2792;25-08-2009;2.1104
2793;26-08-2009;2.1236
2794;27-08-2009;2.1324
2795;28-08-2009;2.1304
2796;29-08-2009;
2797;30-08-2009;
2798;31-08-2009;2.1365
2799;01-09-2009;2.1343
2800;02-09-2009;2.1444
2801;03-09-2009;2.1413
2802;04-09-2009;2.1444
2803;05-09-2009;
2804;06-09-2009;
2805;07-09-2009;2.1315
2806;08-09-2009;2.1256
2807;09-09-2009;2.1336
2808;10-09-2009;2.1485
2809;11-09-2009;2.1781
2810;12-09-2009;
2811;13-09-2009;
2812;14-09-2009;2.1749
2813;15-09-2009;2.175
2814;16-09-2009;2.1652
2815;17-09-2009;2.1588
2816;18-09-2009;2.1533
2817;19-09-2009;
2818;20-09-2009;
2819;21-09-2009;
2820;22-09-2009;
2821;23-09-2009;2.1558
2822;24-09-2009;2.1771
2823;25-09-2009;2.1753
2824;26-09-2009;
2825;27-09-2009;
2826;28-09-2009;2.1725
2827;29-09-2009;2.1732
2828;30-09-2009;2.1588
2829;01-10-2009;2.1596
2830;02-10-2009;2.1601
2831;03-10-2009;
2832;04-10-2009;
2833;05-10-2009;2.17
2834;06-10-2009;2.1618
2835;07-10-2009;2.149
2836;08-10-2009;2.1484
2837;09-10-2009;2.1444
2838;10-10-2009;
2839;11-10-2009;
2840;12-10-2009;2.1456
2841;13-10-2009;2.145
2842;14-10-2009;2.1471
2843;15-10-2009;2.1423
2844;16-10-2009;2.1413
2845;17-10-2009;
2846;18-10-2009;
2847;19-10-2009;2.1616
2848;20-10-2009;2.1646
2849;21-10-2009;2.1629
2850;22-10-2009;2.1757
2851;23-10-2009;2.1888
2852;24-10-2009;
2853;25-10-2009;
2854;26-10-2009;2.1887
2855;27-10-2009;2.2042
2856;28-10-2009;2.204
2857;29-10-2009;
2858;30-10-2009;2.204
2859;31-10-2009;
2860;01-11-2009;
2861;02-11-2009;2.1962
2862;03-11-2009;2.204
2863;04-11-2009;2.206
2864;05-11-2009;2.1992
2865;06-11-2009;2.2026
2866;07-11-2009;
2867;08-11-2009;
2868;09-11-2009;2.1946
2869;10-11-2009;2.1977
