;Tarih;TP_SANAYREV4_Y1
115;2014-8;89.3409994802
116;2014-9;102.3025171311
117;2014-10;92.3819925392
118;2014-11;100.0941176267
119;2014-12;108.5010962068
120;2015-1;86.7302097489
121;2015-2;84.1837953606
122;2015-3;99.6725013046
123;2015-4;99.2576320588
124;2015-5;98.8319475814
125;2015-6;104.5077034941
126;2015-7;95.0768142385
127;2015-8;101.5730136767
128;2015-9;97.0587459316
129;2015-10;108.6878259699
130;2015-11;107.4923560369
131;2015-12;116.9274545975
132;2016-1;91.3283301526
133;2016-2;95.8061460194
134;2016-3;106.4100882618
135;2016-4;102.6943914166
136;2016-5;107.1099292261
137;2016-6;107.3712917271
138;2016-7;86.8974997284
139;2016-8;105.489442297
140;2016-9;93.469822551
141;2016-10;113.01221891
142;2016-11;113.7228986566
143;2016-12;117.5772961185
144;2017-1;97.070619421
145;2017-2;96.2470507436
146;2017-3;113.2224336773
147;2017-4;110.1616510621
148;2017-5;113.7120638138
149;2017-6;105.1054617013
150;2017-7;112.4794288524
151;2017-8;113.6933633216
152;2017-9;110.5690946872
153;2017-10;125.8677061702
154;2017-11;124.9534313551
155;2017-12;130.1675830063
156;2018-1;109.1671565634
157;2018-2;105.3264207025
158;2018-3;120.6569436521
159;2018-4;114.9098475071
160;2018-5;121.0851706593
161;2018-6;107.1600859128
162;2018-7;120.8594314346
163;2018-8;100.8395833494
164;2018-9;114.796232282
165;2018-10;119.820146603
166;2018-11;116.2032482776
167;2018-12;117.2165995059
168;2019-1;100.9708954276
169;2019-2;100.0935424156
170;2019-3;115.1182598942
171;2019-4;113.5771052869
172;2019-5;120.9616922639
173;2019-6;96.9688011194
174;2019-7;120.3945034068
175;2019-8;99.1180537839
176;2019-9;119.5495649759
177;2019-10;123.1412265666
178;2019-11;121.0097963605
179;2019-12;128.8816027861
180;2020-1;108.6949219945
181;2020-2;111.3547617586
182;2020-3;114.0496110825
183;2020-4;78.2162383738
184;2020-5;84.0972181903
185;2020-6;114.0913491276
186;2020-7;119.6155540556
187;2020-8;115.153678082
188;2020-9;133.0661206943
189;2020-10;134.9517787163
190;2020-11;131.4814571662
191;2020-12;144.6884965703
192;2021-1;116.6259364125
193;2021-2;117.7352440243
194;2021-3;136.9597027232
195;2021-4;129.1880877777
196;2021-5;117.2397829162
197;2021-6;141.1823812085
198;2021-7;117.8107124011
199;2021-8;138.2088003748
200;2021-9;144.8726188379
201;2021-10;142.1705151577
202;2021-11;150.6465178233
203;2021-12;165.5609722024
204;2022-1;127.196434929
205;2022-2;134.2347925095
206;2022-3;150.9114364374
207;2022-4;143.9070248267
208;2022-5;133.730947286
209;2022-6;154.6187073883
210;2022-7;122.4393853943
211;2022-8;145.0183067848
212;2022-9;146.6479285036
213;2022-10;147.5358425448
214;2022-11;149.1597946529
215;2022-12;163.434177225
216;2023-1;136.2396781705
217;2023-2;123.2603366032
218;2023-3;151.248459436
219;2023-4;129.8483350373
220;2023-5;149.3793611319
221;2023-6;137.8918477318
222;2023-7;145.4838159219
223;2023-8;149.3097244094
224;2023-9;151.3140334385
225;2023-10;153.1065242973
